ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TWD,204282537,2924-03105497-2A1680645,2026-06-30T01:11:00.000Z,Application for quotation of securities - TWD,16KB,false,TWD,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03098418-2A1676524,2026-06-09T05:10:23.000Z,Share Price and Trading Update,99KB,false,TWD,,"[""Trading Update""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03098366-2A1676504,2026-06-09T02:09:22.000Z,Application for quotation of securities - TWD,16KB,false,TWD,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03097729-2A1676052,2026-06-05T02:04:14.000Z,Application for quotation of securities - TWD,14KB,false,TWD,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03077547-2A1665734,2026-04-10T01:02:06.000Z,Dividend/Distribution - TWD,16KB,false,TWD,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03077523-2A1665721,2026-04-10T00:12:31.000Z,TWD declares fully franked Interim Dividend of 11 cents,44KB,true,TWD,,"[""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03070525-2A1661494,2026-03-20T00:50:51.000Z,Application for quotation of securities - TWD,16KB,false,TWD,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03057972-2A1654268,2026-02-18T04:42:46.000Z,Change in substantial holding,698KB,false,TWD,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03057971-2A1654266,2026-02-18T04:42:36.000Z,Change of Director's Interest Notice - Lev Mizikovsky,262KB,false,TWD,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
TWD,204282537,2924-03055318-2A1653057,2026-02-10T23:33:51.000Z,Half Yearly Report and Accounts,705KB,false,TWD,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""TWD""}]","[{""symbol"": ""TWD"", ""xid"": ""274152"", ""ASXSecurityType"": 1, ""displayName"": ""TAMAWOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TWD1"", ""xidEntity"": 204282537}]","[""TWD"", """"]"
