ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TWL,690236771,2924-03105696-2A1680787,2026-06-30T06:40:21.000Z,TWL - Annual Report 2026 - Replacement,3117KB,false,TWL,,"[""Corporate Governance"", ""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03105220-2A1680265,2026-06-29T21:30:24.000Z,TWL - Annual Report 2026,20015KB,false,TWL,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03105218-2A1680263,2026-06-29T21:30:05.000Z,FY26 - Annual Report - Market Release,166KB,false,TWL,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03104097-2A1679581,2026-06-25T21:31:07.000Z,TWL Annual Shareholders Meeting,176KB,false,TWL,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03102029-2A1678278,2026-06-19T06:11:05.000Z,ASX Listing Rule 1.15.3,190KB,false,TWL,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03100420-2A1677515,2026-06-15T21:30:44.000Z,TradeWindow appoints Dewald van Rensburg CEO,141KB,true,TWL,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03099310-2A1676959,2026-06-11T03:24:02.000Z,Director resignation - AJ Smith,140KB,false,TWL,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03094921-2A1674416,2026-05-28T21:31:15.000Z,TWL - Audited Financial Statements - FY26,690KB,false,TWL,,"[""Full Year Accounts"", ""Full Year Audit Review""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03094920-2A1674415,2026-05-28T21:31:00.000Z,TWL - Investor Presentation - FY26 Result,4581KB,true,TWL,,"[""Company Presentation"", ""Preliminary Final Report""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
TWL,690236771,2924-03094918-2A1674414,2026-05-28T21:30:40.000Z,TWL Full Year Results FY26,631KB,true,TWL,,"[""Web Cast"", ""Preliminary Final Report""]","[{""symbolDisplay"": ""TWL""}]","[{""symbol"": ""TWL"", ""xid"": ""1027588736"", ""ASXSecurityType"": 1, ""displayName"": ""TRADE WINDOW HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZTWLE0004S0"", ""xidEntity"": 690236771, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""TWL"", """"]"
