ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TYX,204122087,2924-03098403-6A1328753,2026-06-09T04:17:43.000Z,Junior Indaba Presentation,3678KB,false,TYX,,"[""Company Presentation""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03092221-6A1326357,2026-05-20T22:20:00.000Z,Manganese Rock Chips Exceed 30% Mn,1915KB,true,TYX,,"[""Progress Report""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03088795-6A1324964,2026-05-11T04:07:56.000Z,Proposed issue of securities - TYX,22KB,false,TYX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03088790-6A1324962,2026-05-11T03:54:26.000Z,Initial Director's Interest Notice,161KB,false,TYX,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03088694-6A1324926,2026-05-10T23:32:19.000Z,Non-Executive Director Appointment Mr Davide Bosio,318KB,false,TYX,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03086889-6A1324212,2026-05-05T09:06:01.000Z,Section 708A Cleansing Notice,144KB,false,TYX,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03086855-6A1324190,2026-05-05T07:57:40.000Z,Notification regarding unquoted securities - TYX,16KB,false,TYX,,"[""Appendix 3G""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03086848-6A1324187,2026-05-05T07:43:50.000Z,Application for quotation of securities - TYX,15KB,false,TYX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03084944-6A1323325,2026-04-30T05:01:03.000Z,Proposed issue of securities - TYX,19KB,false,TYX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03084936-6A1323320,2026-04-30T04:51:23.000Z,Acquisition of Final 20% interest in Angolan Minerals,273KB,false,TYX,,"[""Issued Capital - Other"", ""Asset Acquisition""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03083263-6A1322414,2026-04-28T06:06:30.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,988KB,true,TYX,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03079263-6A1320631,2026-04-15T22:17:58.000Z,Stream Sediment Geochem Prioritises Areas for Gold Targeting,1230KB,false,TYX,,"[""Progress Report""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03068855-6A1316597,2026-03-16T05:56:46.000Z,Half Year Accounts,768KB,false,TYX,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03052669-6A1310393,2026-02-03T21:21:36.000Z,Appointment of Exploration Manager,198KB,false,TYX,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03051088-6A1309555,2026-01-30T01:07:15.000Z,Clarification - Market Update Announcement,190KB,true,TYX,,"[""Second Quarter Activities Report""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03047881-6A1307873,2026-01-21T02:29:33.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1212KB,true,TYX,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03038160-6A1303746,2025-12-16T07:19:50.000Z,Section 708A Cleansing Notice,143KB,false,TYX,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03038155-6A1303742,2025-12-16T07:17:00.000Z,Application for quotation of securities - TYX,15KB,false,TYX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03034633-6A1302120,2025-12-08T04:23:46.000Z,Change in substantial holding,1453KB,false,TYX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03026523-6A1298395,2025-11-21T03:49:05.000Z,Results of Meeting,193KB,false,TYX,,"[""Results of Meeting""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03025369-6A1297954,2025-11-19T21:20:09.000Z,Geochemistry Sampling Completed at the Chinguar Gold Project,1059KB,false,TYX,,"[""Progress Report""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03018425-6A1295233,2025-11-03T06:56:25.000Z,Section 708A Cleansing Notice,143KB,false,TYX,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
TYX,204122087,2924-03018414-6A1295226,2025-11-03T06:39:10.000Z,Application for quotation of securities - TYX,15KB,false,TYX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TYX""}]","[{""symbol"": ""TYX"", ""xid"": ""7678160"", ""ASXSecurityType"": 1, ""displayName"": ""TYRANNA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TYX5"", ""xidEntity"": 204122087}]","[""TYX"", """"]"
