ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
UOS,204253799,2924-03105834-6A1331711,2026-06-30T08:43:42.000Z,Notification of Net Transfer Between Exchanges,360KB,false,UOS,,"[""Alteration to issued capital"", ""Issued Capital - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03099260-6A1329104,2026-06-11T01:12:51.000Z,Change of Director's Interest Notice,530KB,false,UOS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03096816-6A1328167,2026-06-03T03:48:32.000Z,Notification regarding unquoted securities - UOS,14KB,false,UOS,,"[""Appendix 3G""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03096815-6A1328166,2026-06-03T03:45:12.000Z,Application for quotation of securities - UOS,15KB,false,UOS,,"[""Appendix 2A""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03095291-6A1327584,2026-05-29T05:26:38.000Z,Notification of Net Transfer Between Exchanges,267KB,false,UOS,,"[""Alteration to issued capital"", ""Overseas Listing""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03095278-6A1327578,2026-05-29T05:13:43.000Z,Results of Meeting,296KB,false,UOS,,"[""Results of Meeting""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03095211-6A1327546,2026-05-29T03:30:02.000Z,Final Director's Interest Notice,176KB,false,UOS,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03095210-6A1327545,2026-05-29T03:28:12.000Z,Final Director's Interest Notice,201KB,false,UOS,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03095209-6A1327544,2026-05-29T03:26:22.000Z,Cessation of Alternate Director,339KB,false,UOS,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
UOS,204253799,2924-03094782-6A1327380,2026-05-28T05:40:34.000Z,Access details for Adjourned AGM,387KB,false,UOS,,"[""Web Cast"", ""Notice of Meeting - Other""]","[{""symbolDisplay"": ""UOS""}]","[{""symbol"": ""UOS"", ""xid"": ""277508"", ""ASXSecurityType"": 1, ""displayName"": ""UNITED OVERSEAS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000UOS4"", ""xidEntity"": 204253799}]","[""UOS"", """"]"
