ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
USL,204156098,2924-03102344-3A695705,2026-06-21T23:10:35.000Z,Further High-Grade Results Outside of Joaquin MRE,2020KB,true,USL,,"[""Progress Report""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03099347-3A695132,2026-06-11T05:45:33.000Z,Section 708A Cleansing Notice,289KB,false,USL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03099346-3A695131,2026-06-11T05:43:33.000Z,Application for quotation of securities - USL,15KB,false,USL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03096201-3A694532,2026-06-01T23:40:36.000Z,USL Commences Trading on OTCQX in the United States,162KB,false,USL,,"[""Overseas Listing""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03093249-3A693913,2026-05-24T23:15:09.000Z,Section 708A Cleansing Notice,660KB,false,USL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03093244-3A693912,2026-05-24T23:13:39.000Z,Application for quotation of securities - USL,15KB,false,USL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03087618-3A692875,2026-05-06T23:16:45.000Z,High Grade Drill Results Extend Joaquin MRE,2180KB,true,USL,,"[""Progress Report""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03083660-3A692168,2026-04-28T23:11:52.000Z,Section 708A Cleansing Notice,226KB,false,USL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03083653-3A692167,2026-04-28T23:09:17.000Z,Application for quotation of securities - USL,15KB,false,USL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
USL,204156098,2924-03082180-3A691929,2026-04-23T23:33:21.000Z,March 2026 Quarterly Activities & Cashflow Reports,1553KB,true,USL,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""USL""}]","[{""symbol"": ""USL"", ""xid"": ""373098466"", ""ASXSecurityType"": 1, ""displayName"": ""UNICO SILVER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000269821"", ""xidEntity"": 204156098, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""USL"", """"]"
