ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
UWC,235366581,2924-03104626-6A1331266,2026-06-26T08:11:34.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03104062-6A1331046,2026-06-25T08:12:59.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03102696-6A1330506,2026-06-22T22:15:13.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03102208-6A1330282,2026-06-21T22:13:35.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03101767-6A1330092,2026-06-18T22:34:57.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03101373-6A1329918,2026-06-17T22:26:28.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03100430-6A1329554,2026-06-15T22:15:49.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03098956-6A1328981,2026-06-10T08:43:04.000Z,Notification of cessation of securities - UWC,12KB,false,UWC,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03098950-6A1328976,2026-06-10T08:25:14.000Z,UWC Investment Portfolio Performance May 2026,409KB,false,UWC,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03094887-6A1327429,2026-05-28T08:22:00.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
UWC,235366581,2924-03093931-6A1327022,2026-05-26T08:44:37.000Z,Update - Notification of buy-back - UWC,15KB,false,UWC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""UWC""}]","[{""symbol"": ""UWC"", ""xid"": ""82356071"", ""ASXSecurityType"": 1, ""displayName"": ""UNDERWOOD CAPITAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000373201"", ""xidEntity"": 235366581}]","[""UWC"", """"]"
