ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
VCX,204979251,2924-03100205-3A695312,2026-06-15T00:12:24.000Z,Initial Director's Interest Notice,368KB,false,VCX,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03100008-3A695278,2026-06-14T22:28:44.000Z,Chairman transition and Director appointment,297KB,true,VCX,,"[""Chair Appointment/Resignation"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03090407-3A693366,2026-05-14T23:04:01.000Z,Acquisition of Eastern Creek Quarter retail asset,304KB,true,VCX,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03086558-3A692676,2026-05-04T23:05:07.000Z,March 2026 quarterly update,1132KB,true,VCX,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03075368-3A690748,2026-04-02T04:27:19.000Z,Notification of cessation of securities - VCX,13KB,false,VCX,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03067500-3A689300,2026-03-12T01:48:54.000Z,Application for quotation of securities - VCX,15KB,false,VCX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03064952-3A688845,2026-03-04T23:37:59.000Z,Update - Dividend/Distribution - VCX,21KB,false,VCX,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03064140-3A688677,2026-03-03T06:14:28.000Z,Change in substantial holding,235KB,false,VCX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03062235-3A688261,2026-02-26T21:07:41.000Z,Ceasing to be a substantial holder,892KB,false,VCX,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
VCX,204979251,2924-03061363-3A688062,2026-02-25T21:00:47.000Z,Becoming a substantial holder,1588KB,false,VCX,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""VCX""}]","[{""symbol"": ""VCX"", ""xid"": ""40340790"", ""ASXSecurityType"": 6, ""displayName"": ""VICINITY CENTRES"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000VCX7"", ""xidEntity"": 204979251}]","[""VCX"", """"]"
