ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
VEE,365646120,2924-03098070-6A1328642,2026-06-08T22:28:26.000Z,Investor Presentation,4415KB,true,VEE,,"[""Company Presentation""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03098067-6A1328640,2026-06-08T22:28:11.000Z,Factory Extension and Trading Update,442KB,true,VEE,,"[""Trading Update"", ""Progress Report""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03095900-6A1327805,2026-06-01T06:19:55.000Z,Change in substantial holding,318KB,false,VEE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03060618-6A1313554,2026-02-24T21:13:29.000Z,Half Year Results Presentation,1989KB,true,VEE,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03060617-6A1313550,2026-02-24T21:13:19.000Z,VEEM Reports 1HFY26 Results,362KB,true,VEE,,"[""Half Yearly Report"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03060601-6A1313546,2026-02-24T21:11:49.000Z,Appendix 4D and  Half Year Financial Statements,760KB,true,VEE,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03059448-6A1313144,2026-02-22T22:26:57.000Z,1HFY26 Accounting Adjustments & Prelim Unaudited Results,350KB,true,VEE,,"[""Notification of Results/Reporting Date"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03052169-6A1310163,2026-02-02T09:13:57.000Z,Notification of Results Reporting Date & Webinar,323KB,false,VEE,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03035900-6A1302729,2025-12-10T07:49:44.000Z,Change of Director's Interest Notice - B. Miocevich,267KB,false,VEE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03035892-6A1302722,2025-12-10T07:41:13.000Z,Change of Director's Interest Notice - M. Miocevich,267KB,false,VEE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03035856-6A1302699,2025-12-10T06:40:48.000Z,Change in Substantial Holding,233KB,false,VEE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03035850-6A1302696,2025-12-10T06:29:08.000Z,Cleansing Notice,341KB,false,VEE,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03035846-6A1302692,2025-12-10T06:20:53.000Z,Application for quotation of securities - VEE,15KB,false,VEE,,"[""Appendix 2A""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03029740-6A1299812,2025-11-27T08:40:28.000Z,Final Director's Interest Notice,226KB,false,VEE,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03029736-6A1299810,2025-11-27T08:37:48.000Z,Results of Meeting,355KB,false,VEE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03029642-6A1299754,2025-11-27T06:43:32.000Z,AGM Presentation & Trading Update,1937KB,true,VEE,,"[""Trading Update"", ""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03019532-6A1295733,2025-11-05T21:19:44.000Z,Launch of VEEM Extreme Range,505KB,true,VEE,,"[""Progress Report""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03012096-6A1292148,2025-10-22T09:19:59.000Z,Annual Report to shareholders,1993KB,false,VEE,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03012008-6A1292085,2025-10-22T06:21:48.000Z,Corporate Governance Statement and Appendix 4G,479KB,false,VEE,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03011992-6A1292074,2025-10-22T06:07:57.000Z,Notice of Annual General Meeting/Proxy Form,955KB,false,VEE,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03005326-6A1289047,2025-10-08T06:28:38.000Z,Change in substantial holding,233KB,false,VEE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03005316-6A1289041,2025-10-08T06:15:28.000Z,AGM and Tour Date and Closing Date for Director Nominations,337KB,false,VEE,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03005312-6A1289038,2025-10-08T06:10:53.000Z,Cleansing Notice,340KB,false,VEE,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03005170-6A1288983,2025-10-08T01:55:26.000Z,Application for quotation of securities - VEE,15KB,false,VEE,,"[""Appendix 2A""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03001225-6A1287294,2025-09-30T07:34:50.000Z,Initial Director's Interest Notice,228KB,false,VEE,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03000594-6A1286964,2025-09-29T23:52:42.000Z,Proposed issue of securities - VEE,15KB,false,VEE,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03000593-6A1286904,2025-09-29T23:52:32.000Z,Capital Raise Presentation,1060KB,true,VEE,,"[""Company Presentation""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03000592-6A1286900,2025-09-29T23:52:12.000Z,Board Changes,343KB,false,VEE,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-03000590-6A1286898,2025-09-29T23:50:52.000Z,A$14m Placement & US$33m Northrop Grumman MLA,335KB,true,VEE,,"[""Placement"", ""Trading Halt Lifted"", ""Progress Report"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
VEE,365646120,2924-02998888-6A1286133,2025-09-25T23:25:45.000Z,Trading Halt,352KB,true,VEE,,"[""Trading Halt""]","[{""symbolDisplay"": ""VEE""}]","[{""symbol"": ""VEE"", ""xid"": ""368486095"", ""ASXSecurityType"": 1, ""displayName"": ""VEEM LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000VEE3"", ""xidEntity"": 365646120, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""VEE"", """"]"
