ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
WAX,204105331,2924-03101640-2A1678106,2026-06-18T07:13:22.000Z,Change in substantial holding from WAM/WAX/WMI,299KB,false,EOL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""EOL""}, {""symbolDisplay"": ""WAM""}, {""symbolDisplay"": ""WAX""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""EOL"", ""xid"": ""6195516"", ""ASXSecurityType"": 1, ""displayName"": ""ENERGY ONE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000EOL3"", ""xidEntity"": 204243675, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""EOL"", ""WAM"", ""WAX"", ""WMI"", """"]"
WAX,204105331,2924-03098941-2A1676801,2026-06-10T08:12:04.000Z,Change in substantial holding from WAM/WAX/WMI,329KB,false,LGI,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""LGI""}, {""symbolDisplay"": ""WAM""}, {""symbolDisplay"": ""WAX""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""LGI"", ""xid"": ""752817943"", ""ASXSecurityType"": 1, ""displayName"": ""LGI LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000237638"", ""xidEntity"": 752830699, ""sector"": ""Utilities"", ""industryGroup"": ""Utilities"", ""industry"": ""Independent Power & Renewable Electricity Producers"", ""subIndustry"": ""Renewable Electricity""}]","[""LGI"", ""WAM"", ""WAX"", ""WMI"", """"]"
WAX,204105331,2924-03097653-2A1675979,2026-06-04T23:58:53.000Z,May 2026 Investment Update,385KB,false,WAX,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""WAX""}]","[{""symbol"": ""WAX"", ""xid"": ""285475"", ""ASXSecurityType"": 1, ""displayName"": ""WAM RESEARCH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WAX9"", ""xidEntity"": 204105331}]","[""WAX"", """"]"
WAX,204105331,2924-03097412-6A1328373,2026-06-04T07:31:52.000Z,Change in substantial holding from WMI/WAA/WAM/WAX,284KB,false,SGI,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""SGI""}, {""symbolDisplay"": ""WAA""}, {""symbolDisplay"": ""WAM""}, {""symbolDisplay"": ""WAX""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""SGI"", ""xid"": ""492660670"", ""ASXSecurityType"": 1, ""displayName"": ""STEALTH GROUP HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022238"", ""xidEntity"": 486161433, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Trading Companies & Distributors"", ""subIndustry"": ""Trading Companies & Distributors""}]","[""SGI"", ""WAA"", ""WAM"", ""WAX"", ""WMI"", """"]"
WAX,204105331,2924-03095252-2A1674572,2026-05-29T04:31:17.000Z,Application for quotation of securities - WAX,14KB,false,WAX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""WAX""}]","[{""symbol"": ""WAX"", ""xid"": ""285475"", ""ASXSecurityType"": 1, ""displayName"": ""WAM RESEARCH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WAX9"", ""xidEntity"": 204105331}]","[""WAX"", """"]"
WAX,204105331,2924-03091198-2A1672587,2026-05-18T07:27:05.000Z,Update - Dividend/Distribution - WAX,15KB,false,WAX,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""WAX""}]","[{""symbol"": ""WAX"", ""xid"": ""285475"", ""ASXSecurityType"": 1, ""displayName"": ""WAM RESEARCH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WAX9"", ""xidEntity"": 204105331}]","[""WAX"", """"]"
WAX,204105331,2924-03088190-2A1671178,2026-05-07T23:59:00.000Z,April 2026 Investment Update,1113KB,false,WAX,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""WAX""}]","[{""symbol"": ""WAX"", ""xid"": ""285475"", ""ASXSecurityType"": 1, ""displayName"": ""WAM RESEARCH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WAX9"", ""xidEntity"": 204105331}]","[""WAX"", """"]"
WAX,204105331,2924-03087937-3A692933,2026-05-07T07:24:23.000Z,Ceasing to be a substantial holder from WAM/WMI/WAX,271KB,false,GTK,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""GTK""}, {""symbolDisplay"": ""WAM""}, {""symbolDisplay"": ""WAX""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""GTK"", ""xid"": ""76053381"", ""ASXSecurityType"": 1, ""displayName"": ""GENTRACK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZGTKE0002S9"", ""xidEntity"": 234899412, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""GTK"", ""WAM"", ""WAX"", ""WMI"", """"]"
WAX,204105331,2924-03086859-3A692730,2026-05-05T08:03:50.000Z,Becoming a substantial holder from WAM/WMI/WAX,700KB,false,IDX,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""IDX""}, {""symbolDisplay"": ""WAM""}, {""symbolDisplay"": ""WAX""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""IDX"", ""xid"": ""310471326"", ""ASXSecurityType"": 1, ""displayName"": ""INTEGRAL DIAGNOSTICS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IDX2"", ""xidEntity"": 235754277, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Providers & Services"", ""subIndustry"": ""Health Care Services""}]","[""IDX"", ""WAM"", ""WAX"", ""WMI"", """"]"
WAX,204105331,2924-03083368-2A1668609,2026-04-28T08:16:26.000Z,Change in substantial holding from WAM/WMI/WAX,309KB,false,COG,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""COG""}, {""symbolDisplay"": ""WAM""}, {""symbolDisplay"": ""WAX""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""COG"", ""xid"": ""669465840"", ""ASXSecurityType"": 1, ""displayName"": ""COG FINANCIAL SERVICES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COG7"", ""xidEntity"": 204244220, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Investment Banking & Brokerage""}]","[""COG"", ""WAM"", ""WAX"", ""WMI"", """"]"
