ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
WGX,204098062,2924-03106098-6A1331844,2026-06-30T23:04:39.000Z,Completion of Peak Hill Gold Project Divestment,111KB,false,WGX,,"[""Asset Disposal"", ""Progress Report""]","[{""symbolDisplay"": ""WGX""}, {""symbolDisplay"": ""GBR""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", ""GBR"", """"]"
WGX,204098062,2924-03105914-6A1331766,2026-06-30T22:14:19.000Z,Final Director's Interest Notice x 2,203KB,false,WGX,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
WGX,204098062,2924-03105824-6A1331701,2026-06-30T08:38:52.000Z,Change in substantial holding,979KB,false,WGX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
WGX,204098062,2924-03104674-6A1331290,2026-06-28T22:19:36.000Z,Update - Notification of buy-back - WGX,15KB,false,WGX,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
WGX,204098062,2924-03103991-6A1331016,2026-06-25T06:36:04.000Z,Director Retirements,322KB,false,WGX,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
WGX,204098062,2924-03103710-6A1330918,2026-06-24T22:56:32.000Z,Update - Notification of buy-back - WGX,15KB,false,WGX,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
WGX,204098062,2924-03103133-6A1330690,2026-06-23T22:24:38.000Z,Update - Notification of buy-back - WGX,15KB,false,WGX,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
WGX,204098062,2924-03102666-6A1330482,2026-06-22T22:12:03.000Z,Update - Notification of buy-back - WGX,15KB,false,WGX,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
WGX,204098062,2924-03102218-6A1330289,2026-06-21T22:14:40.000Z,Update - Notification of buy-back - WGX,15KB,false,WGX,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
WGX,204098062,2924-03100805-6A1329689,2026-06-16T07:14:02.000Z,Change in substantial holding,1466KB,false,WGX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""WGX""}]","[{""symbol"": ""WGX"", ""xid"": ""373366067"", ""ASXSecurityType"": 1, ""displayName"": ""WESTGOLD RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000WGX6"", ""xidEntity"": 204098062, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""WGX"", """"]"
