ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
WRK,372782443,2924-03100248-2A1677415,2026-06-15T02:22:25.000Z,Application for quotation of securities - WRK,16KB,false,WRK,,"[""Appendix 2A""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03083668-2A1668701,2026-04-28T23:14:27.000Z,Quarterly Update Investor Presentation,591KB,false,WRK,,"[""Company Presentation""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03082221-2A1668113,2026-04-24T00:24:46.000Z,Quarterly Activity Report and Appendix 4C,997KB,true,WRK,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03078021-2A1666107,2026-04-12T23:39:22.000Z,Change of Principal Place of Business and Registered Office,248KB,false,WRK,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03058572-2A1654575,2026-02-19T04:38:04.000Z,Appendix 4D and Half Year Financial Report,544KB,true,WRK,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03054375-2A1652563,2026-02-09T00:11:18.000Z,Quarterly Update Investor Presentation,1126KB,false,WRK,,"[""Company Presentation"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03053812-2A1652250,2026-02-06T00:15:10.000Z,Change of Director's Interest Notice (Trent Lund),222KB,false,WRK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03053512-2A1652032,2026-02-05T06:41:03.000Z,Notification regarding unquoted securities - WRK,17KB,false,WRK,,"[""Appendix 3G""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03053503-2A1652029,2026-02-05T06:25:23.000Z,Application for quotation of securities - WRK,15KB,false,WRK,,"[""Appendix 2A""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03053496-2A1652025,2026-02-05T06:22:28.000Z,Cleansing Notice,272KB,false,WRK,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03053493-2A1652016,2026-02-05T06:18:08.000Z,Completion of Strategic Acquisition of PaidRight Holdings,52KB,true,WRK,,"[""Web Cast"", ""Issued Capital - Other"", ""Asset Acquisition""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03051960-2A1650975,2026-02-02T02:12:19.000Z,Application for quotation of securities - WRK,16KB,false,WRK,,"[""Appendix 2A""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03050359-2A1650368,2026-01-29T03:17:12.000Z,Quarterly Activity Report and Appendix 4C,1047KB,true,WRK,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03050278-2A1650288,2026-01-29T00:38:41.000Z,Update - Proposed issue of securities - WRK,16KB,false,WRK,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03050270-2A1650282,2026-01-29T00:29:21.000Z,Results of General Meeting,97KB,false,WRK,,"[""Results of Meeting""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
WRK,372782443,2924-03049666-2A1649986,2026-01-28T01:10:23.000Z,Quarterly Presentation and General Meeting Proxy Results,143KB,false,WRK,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""WRK""}]","[{""symbol"": ""WRK"", ""xid"": ""373330958"", ""ASXSecurityType"": 1, ""displayName"": ""WRKR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000192064"", ""xidEntity"": 372782443, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""IT Services"", ""subIndustry"": ""Internet Services & Infrastructure""}]","[""WRK"", """"]"
