ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
WRX,1037094388,2924-03101229-6A1329854,2026-06-17T07:18:37.000Z,Sulphide Mineralisation Confirmed at Keystone - Updated,1401KB,false,WRX,,"[""Progress Report""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03100437-6A1329556,2026-06-15T22:16:59.000Z,Sulphide Mineralisation Confirmed at Keystone,1238KB,true,WRX,,"[""Progress Report""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03096515-6A1328052,2026-06-02T22:17:55.000Z,Maiden Drilling Program Confirmed for Keystone Project,680KB,true,WRX,,"[""Progress Report""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03094566-6A1327287,2026-05-27T23:18:17.000Z,Significant Expansion of Keystone Project,426KB,true,WRX,,"[""Progress Report""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03091217-6A1325953,2026-05-18T07:59:31.000Z,Change of Director's Interest Notice,264KB,false,WRX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03085039-6A1323378,2026-04-30T06:24:53.000Z,Quarterly Activities and Cashflow Report,902KB,true,WRX,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03083460-6A1322526,2026-04-28T22:19:11.000Z,Exploration Earthworks Underway - Keystone Project,743KB,true,WRX,,"[""Progress Report""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03073214-6A1318337,2026-03-29T21:18:49.000Z,Western Ridge Completes OTC Listing,239KB,false,WRX,,"[""Company Administration - Other"", ""Overseas Listing""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03072193-6A1317920,2026-03-25T21:13:33.000Z,Drilling Approval Received - Keystone Project,793KB,true,WRX,,"[""Progress Report""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
WRX,1037094388,2924-03068277-6A1316323,2026-03-13T07:24:25.000Z,Half Yearly Report and Accounts,420KB,false,WRX,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""WRX""}]","[{""symbol"": ""WRX"", ""xid"": ""726226770"", ""ASXSecurityType"": 1, ""displayName"": ""WESTERN RIDGE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000458739"", ""xidEntity"": 1037094388}]","[""WRX"", """"]"
