ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
WTL,235591445,2924-03105935-2A1680867,2026-06-30T22:16:39.000Z,Hubco Strategy Update and B2C Business sale,203KB,true,WTL,,"[""Asset Disposal"", ""Progress Report""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03101242-2A1677898,2026-06-17T07:45:12.000Z,Investor Roadshow and Livestream - Rego link and deck,735KB,true,WTL,,"[""Company Presentation"", ""Web Cast""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03076519-2A1664991,2026-04-08T02:09:29.000Z,Appointment of CFO,170KB,false,WTL,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03076073-2A1664675,2026-04-07T06:06:12.000Z,Change of Director's Interest Notice Cullen,184KB,false,WTL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03068686-2A1660547,2026-03-16T00:22:19.000Z,Notification of cessation of securities - WTL,12KB,false,WTL,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03062253-2A1656629,2026-02-26T21:10:06.000Z,Dividend/Distribution - WTL,13KB,false,WTL,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03062252-2A1656628,2026-02-26T21:09:56.000Z,Half Year Results Commentary,198KB,true,WTL,,"[""Half Yearly Report"", ""Dividend Rate""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03062249-2A1656627,2026-02-26T21:09:36.000Z,Half Yearly Report and Accounts,1419KB,true,WTL,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03056839-2A1653735,2026-02-15T23:33:24.000Z,Indicative Half Year Results Livestream,1339KB,true,WTL,,"[""Company Presentation"", ""Web Cast""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03055813-2A1653286,2026-02-12T01:14:10.000Z,WTL - Indicative Half Year Results,230KB,true,WTL,,"[""Profit Guidance"", ""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03034616-2A1641838,2025-12-08T03:33:35.000Z,Change of Director's Interest Notice Cullen,248KB,false,WTL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03034614-2A1641836,2025-12-08T03:31:45.000Z,Notification regarding unquoted securities - WTL,14KB,false,WTL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03030079-2A1639390,2025-11-28T00:16:33.000Z,Results of Annual General Meeting,268KB,false,WTL,,"[""Results of Meeting""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03029906-2A1639294,2025-11-27T22:09:22.000Z,Chairmans address and Managing Directors address.,194KB,false,WTL,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03022667-2A1635978,2025-11-13T00:36:38.000Z,Change of Director's Interest Notice Cullen,394KB,false,WTL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03020743-2A1635018,2025-11-09T21:20:11.000Z,Change in substantial holding,524KB,false,WTL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03014519-2A1631922,2025-10-27T22:03:24.000Z,Notice of Annual General Meeting/Proxy Form,2394KB,false,WTL,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-03002921-2A1626529,2025-10-02T09:24:44.000Z,Notification regarding unquoted securities - WTL,14KB,false,WTL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-02995145-2A1622445,2025-09-18T03:13:49.000Z,Corporate Governance Statement,262KB,false,WTL,,"[""Corporate Governance""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-02995116-2A1622407,2025-09-18T02:13:59.000Z,WTL Corporate Governance Charter,475KB,false,WTL,,"[""Corporate Governance""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-02995114-2A1622405,2025-09-18T02:13:39.000Z,Appendix 4G,328KB,false,WTL,,"[""Appendix 4G""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-02995113-2A1622403,2025-09-18T02:13:19.000Z,FY2025 Annual Report Announcement,176KB,false,WTL,,"[""Annual Report""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-02995112-2A1622402,2025-09-18T02:12:19.000Z,Annual Report FY2025,2423KB,false,WTL,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Audit Review""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
WTL,235591445,2924-02987758-2A1618492,2025-09-01T06:05:12.000Z,Notification regarding unquoted securities - WTL,14KB,false,WTL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""WTL""}]","[{""symbol"": ""WTL"", ""xid"": ""85346187"", ""ASXSecurityType"": 1, ""displayName"": ""WT FINANCIAL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000065054"", ""xidEntity"": 235591445}]","[""WTL"", """"]"
