ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
XGL,235696619,2924-03105147-2A1680167,2026-06-29T07:43:17.000Z,Change of Interest Notice Correction,260KB,false,XGL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03105136-2A1680163,2026-06-29T07:26:27.000Z,Change of Director's Interest Notice - GB Correction,221KB,false,XGL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03105064-2A1680123,2026-06-29T06:24:52.000Z,Change of Director's Interest Notice - GB,220KB,false,XGL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03103226-2A1678900,2026-06-23T22:55:27.000Z,Cleansing Notice,277KB,false,XGL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03103220-2A1678897,2026-06-23T22:53:32.000Z,Application for quotation of securities - XGL,18KB,false,XGL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03094839-2A1674374,2026-05-28T07:01:44.000Z,Results of Meeting,359KB,false,XGL,,"[""Results of Meeting""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03094752-2A1674309,2026-05-28T04:00:13.000Z,CEO AGM Presentation,1255KB,false,XGL,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03091326-2A1672640,2026-05-18T22:26:42.000Z,Cleansing Notice,276KB,false,XGL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03091280-2A1672625,2026-05-18T22:16:22.000Z,Application for quotation of securities - XGL,18KB,false,XGL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03088625-2A1671379,2026-05-10T22:57:14.000Z,Change of Director's Interest Notice - GC,368KB,false,XGL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03087413-2A1670715,2026-05-06T08:10:14.000Z,Notice of Annual General Meeting/Proxy Form,1323KB,false,XGL,,"[""Web Cast"", ""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03086604-2A1670017,2026-05-04T23:30:22.000Z,Proposed issue of securities - XGL,19KB,false,XGL,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03086603-2A1670013,2026-05-04T23:30:17.000Z,$0.67m Placement to Accelerate YToday Integration,299KB,true,XGL,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03085445-2A1669411,2026-04-30T23:39:15.000Z,Trading Halt,382KB,true,XGL,,"[""Trading Halt""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03083033-2A1668463,2026-04-27T23:34:23.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,509KB,true,XGL,,"[""Commitments Test Entity - First Quarter Activity Report"", ""Commitments Test Entity - First Quarter Cashflow Report""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03081158-2A1667645,2026-04-21T22:58:08.000Z,Commercial Wins and YouthsToday Acquisition Completed,245KB,true,XGL,,"[""Progress Report""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
XGL,235696619,2924-03078238-2A1666239,2026-04-13T07:40:15.000Z,Notification of cessation of securities - XGL,14KB,false,XGL,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""XGL""}]","[{""symbol"": ""XGL"", ""xid"": ""276540208"", ""ASXSecurityType"": 1, ""displayName"": ""XAMBLE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000281933"", ""xidEntity"": 235696619}]","[""XGL"", """"]"
