ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
XRF,204201644,2924-03102929-6A1330588,2026-06-23T02:04:14.000Z,Change of Director's Interest Notice - D. Brown,180KB,false,XRF,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03098024-6A1328587,2026-06-08T22:20:11.000Z,June 2026 Investor Presentation,3643KB,false,XRF,,"[""Company Presentation""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03082574-6A1322093,2026-04-26T22:46:13.000Z,Completion of Combustion Gas Analysis Business Acquisition,211KB,false,XRF,,"[""Progress Report""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03081635-6A1321650,2026-04-22T22:54:12.000Z,XRF Scientific Acquires Combustion Gas Analysis Business,151KB,true,XRF,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03078933-6A1320519,2026-04-14T23:28:30.000Z,March 2026 Quarterly Trading Report,231KB,true,XRF,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03064502-6A1314808,2026-03-04T02:57:16.000Z,Application for quotation of securities - XRF,17KB,false,XRF,,"[""Appendix 2A""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03057734-6A1312561,2026-02-17T22:07:43.000Z,February 2026 Investor Presentation,3511KB,true,XRF,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03057730-6A1312560,2026-02-17T22:05:43.000Z,XRF announces record first half result,242KB,true,XRF,,"[""Half Yearly Report"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03057725-6A1312559,2026-02-17T22:03:08.000Z,Appendix 4D - Half-Year Report,398KB,true,XRF,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
XRF,204201644,2924-03049297-6A1308566,2026-01-27T06:20:41.000Z,XRF to open office in India,230KB,true,XRF,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""XRF""}]","[{""symbol"": ""XRF"", ""xid"": ""5593096"", ""ASXSecurityType"": 1, ""displayName"": ""XRF SCIENTIFIC LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000XRF8"", ""xidEntity"": 204201644, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Machinery"", ""subIndustry"": ""Industrial Machinery & Supplies & Components""}]","[""XRF"", """"]"
