ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
YAR,204258669,2924-03099459-6A1329183,2026-06-11T22:20:04.000Z,Corporate Presentation - Gold Coast Investment Showcase,1267KB,true,YAR,,"[""Company Presentation""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03098046-6A1328603,2026-06-08T22:25:51.000Z,Courtney Taylor Appointed Managing Director,394KB,true,YAR,,"[""CEO/Managing Director - Appointment Resignation"", ""Progress Report"", ""Change of Company Name""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03097441-6A1328388,2026-06-04T08:29:17.000Z,Change of Company Name,295KB,false,YAR,,"[""Change of Company Name""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03095461-6A1327646,2026-05-29T08:17:44.000Z,Results of Meeting,308KB,false,YAR,,"[""Results of Meeting""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03083892-6A1322752,2026-04-29T04:01:03.000Z,Notice of AGM/Proxy Form/Letter to Shareholders,401KB,false,YAR,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03083409-6A1322494,2026-04-28T22:11:46.000Z,Quarterly Cashflow Report - March 2026,155KB,true,YAR,,"[""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03083408-6A1322493,2026-04-28T22:11:36.000Z,Quarterly Activities Report - March 2026,758KB,true,YAR,,"[""First Quarter Activities Report""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03074412-6A1318902,2026-03-31T21:16:48.000Z,Austex x AMEC Brisbane Resources Lunch Investor Presentation,1744KB,true,YAR,,"[""Company Presentation""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03073142-6A1318295,2026-03-27T07:46:26.000Z,Annual Report to shareholders,1380KB,false,YAR,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03073071-6A1318255,2026-03-27T05:57:20.000Z,Appendix 4G,295KB,false,YAR,,"[""Appendix 4G""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
YAR,204258669,2924-03073059-6A1318252,2026-03-27T05:53:20.000Z,Corporate Governance Statement,547KB,false,YAR,,"[""Corporate Governance""]","[{""symbolDisplay"": ""YAR""}]","[{""symbol"": ""YAR"", ""xid"": ""636144746"", ""ASXSecurityType"": 1, ""displayName"": ""YARI RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273856"", ""xidEntity"": 204258669}]","[""YAR"", """"]"
