ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ZIM,204109323,2924-03093492-2A1673708,2026-05-25T08:21:42.000Z,Holding Statement,169KB,true,ZIM,,"[""Progress Report""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-03083450-2A1668626,2026-04-28T22:18:16.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,342KB,true,ZIM,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-03062026-2A1656435,2026-02-26T05:32:26.000Z,Half Year Accounts,2281KB,true,ZIM,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-03051488-2A1650813,2026-01-30T07:05:02.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,376KB,true,ZIM,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-03034691-2A1641878,2025-12-08T05:39:51.000Z,Change of Registered Address and Principal Place of Business,103KB,false,ZIM,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-03016014-2A1632489,2025-10-29T21:17:58.000Z,Quarterly Activities Report,342KB,true,ZIM,,"[""First Quarter Activities Report""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-03012808-2A1631183,2025-10-23T21:26:37.000Z,Results of Meeting,148KB,false,ZIM,,"[""Results of Meeting""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-02997888-2A1623783,2025-09-24T08:54:46.000Z,Annual Report to shareholders,19123KB,false,ZIM,,"[""Sustainability/Climate Action Report"", ""Corporate Governance"", ""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report"", ""Notice of Annual General Meeting""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-02997791-2A1623756,2025-09-24T06:49:15.000Z,Appendix 4G,330KB,false,ZIM,,"[""Appendix 4G""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
ZIM,204109323,2924-02997750-2A1623690,2025-09-24T06:23:55.000Z,Notice of Annual General Meeting/Proxy Form,637KB,false,ZIM,,"[""Web Cast"", ""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""ZIM""}]","[{""symbol"": ""ZIM"", ""xid"": ""294666"", ""ASXSecurityType"": 1, ""displayName"": ""ZIMPLATS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""GB0061284906"", ""xidEntity"": 204109323}]","[""ZIM"", """"]"
